epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.98,1.95725,4.03346,1.86285,0.00221,0.74242,0.26724,0.08295,1.5386,3.54707,1.44087,0.000468651,0.000468651,0.000468651
2,39.7373,1.64099,2.47382,1.50392,0.8405,0.90966,0.96116,0.4876,1.60103,1.67697,1.51661,0.000921596,0.000921596,0.000921596
3,56.9641,1.64481,1.9355,1.51938,0.94859,0.53143,0.60577,0.32121,1.56069,1.50355,1.50389,0.00135096,0.00135096,0.00135096
4,74.4272,1.65683,1.60453,1.51104,0.92568,0.85586,0.93893,0.48073,1.62566,1.18455,1.54622,0.0013229,0.0013229,0.0013229
5,92.0731,1.61144,1.42696,1.4686,0.93464,0.96679,0.9903,0.56187,1.61161,0.88071,1.48305,0.00128753,0.00128753,0.00128753
6,109.171,1.61172,1.31166,1.47405,0.95165,0.96802,0.98904,0.54386,1.58039,0.8075,1.49874,0.00125216,0.00125216,0.00125216
7,126.977,1.55577,1.17707,1.42816,0.95938,0.90195,0.97756,0.53271,1.57096,1.06247,1.49454,0.00121679,0.00121679,0.00121679
8,144.101,1.55452,1.1129,1.42324,0.97148,0.97475,0.97093,0.56783,1.61878,0.71116,1.47983,0.00118143,0.00118143,0.00118143
9,160.695,1.49616,1.0523,1.39829,0.98866,0.99495,0.99445,0.59017,1.486,0.63315,1.4266,0.00114606,0.00114606,0.00114606
10,178.806,1.53127,1.01657,1.40663,0.98372,0.98982,0.9941,0.57537,1.50677,0.6929,1.44979,0.00111069,0.00111069,0.00111069
11,195.67,1.51323,0.96099,1.40315,0.93234,0.96119,0.97518,0.55596,1.5203,0.73243,1.42936,0.00107532,0.00107532,0.00107532
12,212.717,1.5074,0.93461,1.38335,0.97827,0.98115,0.98538,0.59344,1.63339,0.64772,1.4764,0.00103995,0.00103995,0.00103995
13,230.366,1.51843,0.9056,1.37974,0.96722,1,0.99465,0.594,1.46665,0.59086,1.37157,0.00100459,0.00100459,0.00100459
14,247.541,1.44459,0.87337,1.36039,0.99379,0.97348,0.99465,0.60308,1.44256,0.55805,1.36265,0.000969219,0.000969219,0.000969219
15,264.329,1.48093,0.86808,1.38356,0.94228,0.9627,0.9943,0.55755,1.55131,0.65933,1.47646,0.000933851,0.000933851,0.000933851
16,282.321,1.447,0.85497,1.35874,0.97558,0.98544,0.9941,0.59282,1.42015,0.54888,1.38745,0.000898484,0.000898484,0.000898484
17,299.548,1.46373,0.79802,1.35225,0.96721,0.94351,0.99427,0.5822,1.48576,0.6096,1.38209,0.000863116,0.000863116,0.000863116
18,316.267,1.4264,0.78149,1.33323,0.9341,0.94644,0.97907,0.52595,1.58105,0.68527,1.47626,0.000827748,0.000827748,0.000827748
19,334.409,1.41707,0.76967,1.33307,0.95894,0.9711,0.9939,0.59004,1.4898,0.58888,1.37265,0.00079238,0.00079238,0.00079238
20,351.279,1.37451,0.74352,1.3057,0.9784,0.99565,0.99365,0.62955,1.33439,0.51473,1.32035,0.000757013,0.000757013,0.000757013
21,368.436,1.40397,0.7375,1.32435,0.97753,0.98186,0.99456,0.63121,1.41194,0.53194,1.34249,0.000721645,0.000721645,0.000721645
22,386.11,1.36832,0.72189,1.30299,0.98086,0.99495,0.98265,0.5728,1.56231,0.57232,1.42545,0.000686277,0.000686277,0.000686277
23,403.325,1.36602,0.69594,1.31322,0.95996,0.9765,0.99375,0.51422,1.63507,0.59756,1.49521,0.000650909,0.000650909,0.000650909
24,420.547,1.36663,0.68273,1.29306,0.96366,0.94258,0.98822,0.61547,1.41668,0.59915,1.34863,0.000615542,0.000615542,0.000615542
25,438.531,1.37192,0.66481,1.30982,0.98139,0.99567,0.99363,0.60751,1.47517,0.51412,1.3833,0.000580174,0.000580174,0.000580174
26,455.417,1.29667,0.6641,1.26456,0.98268,0.99047,0.98739,0.61065,1.41714,0.51096,1.34411,0.000544806,0.000544806,0.000544806
27,472.196,1.30046,0.65062,1.27653,0.98332,0.99336,0.99099,0.57987,1.48022,0.52575,1.37659,0.000509438,0.000509438,0.000509438
28,490.455,1.3124,0.65217,1.28293,0.98832,0.9899,0.98994,0.60226,1.42641,0.50094,1.36204,0.000474071,0.000474071,0.000474071
29,507.464,1.32018,0.62423,1.27862,0.97862,0.9705,0.99025,0.56893,1.563,0.5711,1.41155,0.000438703,0.000438703,0.000438703
30,524.345,1.30897,0.63229,1.27192,0.9807,0.98687,0.98979,0.60222,1.44959,0.517,1.36783,0.000403335,0.000403335,0.000403335
31,543.428,1.2568,0.53017,1.31987,0.98863,1,0.99132,0.61013,1.40737,0.48392,1.33385,0.000367967,0.000367967,0.000367967
32,559.523,1.23331,0.51245,1.30924,0.9837,0.98641,0.99313,0.62329,1.38048,0.47675,1.34574,0.0003326,0.0003326,0.0003326
33,575.572,1.21132,0.49782,1.29882,0.9864,0.99393,0.99374,0.62995,1.36841,0.47508,1.32409,0.000297232,0.000297232,0.000297232
34,592.859,1.20979,0.48279,1.28323,0.98414,0.9899,0.99045,0.59052,1.42074,0.49029,1.3613,0.000261864,0.000261864,0.000261864
35,609.052,1.19309,0.48039,1.29184,0.97904,0.9774,0.98924,0.57943,1.42382,0.50426,1.36224,0.000226497,0.000226497,0.000226497
36,624.992,1.15314,0.46157,1.25772,0.96636,0.9899,0.99102,0.59713,1.42917,0.50888,1.36464,0.000191129,0.000191129,0.000191129
37,641.194,1.16224,0.45998,1.2602,0.98811,1,0.99067,0.6137,1.39069,0.46464,1.33724,0.000155761,0.000155761,0.000155761
38,658.336,1.15031,0.45945,1.25901,0.98592,0.98871,0.99358,0.60358,1.43007,0.47308,1.3569,0.000120393,0.000120393,0.000120393
39,674.448,1.13111,0.45063,1.24874,0.97841,0.9906,0.99286,0.61482,1.40615,0.46936,1.3428,8.50255e-05,8.50255e-05,8.50255e-05
40,690.518,1.10724,0.43482,1.2363,0.98607,0.98432,0.99221,0.61215,1.4122,0.46625,1.34549,4.96578e-05,4.96578e-05,4.96578e-05
